hospital_name,load_total,overshoot_total
みやぎ県南中核病院（大河原町,1,0.0
イムス明理会仙台総合病院（中央四,3,0.0
中嶋病院（大梶,7,0.0
仙台オープン病院（鶴ヶ谷五,3,0.0
仙台医療センター（宮城野二,11,0.0
仙台厚生病院（堤通雨宮町,15,0.0
仙台厚生病院（広瀬町,4,0.0
仙台市立病院（あすと長町一,21,0.0
仙台循環器病センター（泉中央一,3,0.0
仙台徳洲会病院（高玉町,16,0.0
仙台東脳神経外科（岩切一,1,0.0
仙台赤十字病院（八木山本町二,26,0.0
伊藤病院（二日町）,1,0.0
公立黒川病院（大和町,1,0.0
宮城共立医院（上愛子字上遠野原,2,0.0
広南病院（長町南四,1,0.0
東北公済病院（国分町二,16,0.0
東北労災病院（台原四,13,0.0
東北医科薬科大学病院（福室一,2,0.0
東北大学病院（星陵町,14,0.0
河原町病院（南小泉字八軒,1,0.0
泉整形外科病院（上谷刈,1,0.0
泉病院（長命ヶ丘二,2,0.0
県こども病院（落合四,1,0.0
若林病院　東北医科薬科大学（大和町二,1,0.0
西多賀病院（鈎取本町二,1,0.0
高野原曽木医院（高野原四,1,0.0
ＪＣＨＯ仙台病院（紫山二,4,0.0
ＪＲ仙台病院（五橋一,2,0.0
